text,label
 sướng nhạc,0
uớc già thể cụ cười,1
video coi đi coi hoài . cưng .,1
lí trog muôn vàn lí,0
per đi khóc  trận thoải mái . đừng cố gồng,2
công đấy,1
trời nắng nóng thu nhập hm,0
minh ne,1
"tui thi ́ ch va ̉  lă ́ mày ma ̀ ̀  no ́ lă ́ mày ̣ , bi ̣ lơ ̉ miê ̣",2
"bếp dầu ,",0
phụ nữ phức tạp chinh phục giải quyết vấn đề,0
giáo hs há mồm vui,1
chả mong mong già hai ! vui,1
yêu chết đi .,1
mày định lướt đọc bình luận kĩ mày rớt mắt :loudly_khócing_face:. vĩ đại,2
đi tổng kết bắt học miết cười mệt,2
trai,0
"hồi học lớp  bảo bố đi mua sgk , xong bố đi mua nguyên lớp  sgk tập haha",2
buồn buồn,2
link nhạc mấy vãi,1
ta gọi . đại thánh nhập múa đầu,0
bồi thiệt hại trầy xước thân tàu . tiền sơn mấy toa tàu bộn .,0
công nhân vắt kiệt sức khỏe thải,2
phường chế độ phát chồng thân đăng kí kết hôn nguyện vui,1
haiz . kq đẹp .,2
thân cố gắng chẳng dàng buồn,2
cơm ?,0
"thu trăm tỷ phạt tr , tỉnh hành nghề ha ha",0
học xong  xuân lẽ lỡ ,2
thi xong khóc buồn rying_face:,2
"ôm  hén , hí hí",1
"per trừ , trừ",2
tuần,2
tao  cảm xúc . đầu tiên quán trà . cảm xúc quen thy xong mẹ cấm cười,0
đẹp trai,1
"khổ thân dân , dự án su dự án cà phê , dự án coi đời phí",2
"hồi mày ngỗng nuôi . đeo mày chó mèo . mắc bệnh .  ,  lắm mệt mỏ",2
hồi đọc tao nghi nghi cười,1
trai :rolling_on_the_floor_cườiing:,1
ad nghệ an mưa buồn loud_with_rain:. ốm cam vã lắm mệt,2
giận ngược giận huề đéo buồn,2
per tao fan cứng mày :rolling_on_the_floor_cườiing:,1
ôi bé xinh gái vãi cười,1
cười sái mẹ quai hàm,1
mày  tiền cười mày phát hiện đéo đi,2
dưng cay mẹ mắt,2
per thịt nướng lò xô ne chết ngầu,1
,1
viết vui cười cưng,1
ghét mấy bép xép . gọn lẹ haha,1
cưng đi,1
tao cay mẹ khoé mắt,2
"cười mỳ , trứng nhạt lắm , rụng !",1
